yb	VVc	bD50	Fr	ysb	Source
3.77027027	1.308333333	56.388	0.37047212	1.216216216	USGS
3.77027027	0.959064327	31.11062069	0.386989985	0.466216216	USGS
3.77027027	1.669811321	75.184	0.417666021	1.75	USGS
3.77027027	1.735849057	75.184	0.434183886	1.77027027	USGS
3.77027027	1.616666667	56.388	0.457780836	1.283783784	USGS
3.77027027	1.886792453	75.184	0.471939006	1.195945946	USGS
3.77027027	2.075471698	75.184	0.519132907	1.641891892	USGS
3.77027027	2.103773585	75.184	0.526211992	1.72972973	USGS
3.77027027	2.226415094	75.184	0.556888028	1.155405405	USGS
3.77027027	2.158333333	56.388	0.611161013	1.331081081	USGS
3.77027027	2.471698113	75.184	0.618240098	1.108108108	USGS
3.77027027	2.509433962	75.184	0.627678878	1.682432432	USGS
3.77027027	2.509433962	75.184	0.627678878	1.72972973	USGS
3.77027027	2.726415094	75.184	0.681951864	1.195945946	USGS
3.402439024	1.113207547	83.312	0.278444014	1.902439024	USGS
3.341317365	1.113207547	84.836	0.278444014	1.904191617	USGS
3.341317365	1.905660377	84.836	0.476658396	1.335329341	USGS
3.341317365	2.41509434	84.836	0.604081928	1.473053892	USGS
2.426086957	1.886792453	116.84	0.471939006	1.269565217	USGS
2.426086957	2.443396226	116.84	0.611161013	1.256521739	USGS
0.251198466	0.935779817	378.46	0.351254991	0.839884947	USGS
0.125599233	1.010309278	378.46	0.477269197	0.658676894	USGS
0.05225369	1.010309278	909.6828571	0.477269197	0.244515357	USGS
0.101992032	0.935779817	910.7714286	0.35534742	0.442231076	USGS
0.099203187	0.944444444	910.7714286	0.360307644	0.406374502	USGS
0.052191235	1.010309278	910.7714286	0.477269197	0.358964143	USGS
0.877005348	0.977272727	98.27172414	0.374325579	1.385026738	USGS
0.877005348	1	219.2215385	0.330799349	1.331550802	USGS
0.721925134	0.870588235	98.27172414	0.355007733	1.053475936	USGS
0.721925134	0.905405405	219.2215385	0.32142592	0.983957219	USGS
0.614973262	0.743902439	98.27172414	0.31706908	0.946524064	USGS
0.614973262	0.767123288	219.2215385	0.291079811	0.914438503	USGS
0.769953052	0.977272727	111.9351724	0.374325579	1.323943662	USGS
0.769953052	1	249.7015385	0.330799349	1.295774648	USGS
0.633802817	0.870588235	111.9351724	0.355007733	1.046948357	USGS
0.633802817	0.905405405	249.7015385	0.32142592	0.971830986	USGS
0.539906103	0.743902439	111.9351724	0.31706908	0.953051643	USGS
